Total configs: 256
============================================================
P2.3: 256 Sobol Train-Only Screen (XS-REV + P4 + P5)
============================================================
  [1] lb=4 so=0.25 r=1 p=1.0 f=0.25: ann=33.67% DD=25.59% pos=5/5 [50s]
  [2] lb=4 so=0.25 r=1 p=0.5 f=0.5: ann=33.98% DD=27.35% pos=5/5 [50s]
  [3] lb=4 so=0.25 r=3 p=1.0 f=0.25: ann=33.70% DD=25.57% pos=5/5 [51s]
  [4] lb=4 so=0.25 r=3 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [51s]
  [5] lb=4 so=0.25 r=7 p=1.0 f=0.25: ann=21.00% DD=34.87% pos=5/5 [66s]
  [7] lb=4 so=0.25 r=14 p=1.0 f=0.25: ann=33.71% DD=25.57% pos=5/5 [51s]
  [8] lb=4 so=0.25 r=14 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [51s]
  [9] lb=4 so=0.5 r=1 p=1.0 f=0.25: ann=34.42% DD=13.66% pos=5/5 [51s]
  [10] lb=4 so=0.5 r=1 p=0.5 f=0.5: ann=33.20% DD=27.26% pos=5/5 [51s]
  [11] lb=4 so=0.5 r=3 p=1.0 f=0.25: ann=34.45% DD=13.64% pos=5/5 [51s]
  [12] lb=4 so=0.5 r=3 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [52s]
  [13] lb=4 so=0.5 r=7 p=1.0 f=0.25: ann=21.57% DD=21.82% pos=5/5 [70s]
  [14] lb=4 so=0.5 r=7 p=0.5 f=0.5: ann=20.18% DD=15.81% pos=5/5 [68s]
  [15] lb=4 so=0.5 r=14 p=1.0 f=0.25: ann=34.44% DD=13.64% pos=5/5 [53s]

  Progress: 16/256
  [16] lb=4 so=0.5 r=14 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [53s]
  [17] lb=4 so=0.75 r=1 p=1.0 f=0.25: ann=35.07% DD=13.56% pos=5/5 [55s]
  [18] lb=4 so=0.75 r=1 p=0.5 f=0.5: ann=34.70% DD=15.61% pos=5/5 [53s]
  [19] lb=4 so=0.75 r=3 p=1.0 f=0.25: ann=35.09% DD=13.55% pos=5/5 [55s]
  [20] lb=4 so=0.75 r=3 p=0.5 f=0.5: ann=34.71% DD=15.60% pos=5/5 [55s]
  [21] lb=4 so=0.75 r=7 p=1.0 f=0.25: ann=35.11% DD=13.53% pos=5/5 [56s]
  [22] lb=4 so=0.75 r=7 p=0.5 f=0.5: ann=34.73% DD=15.58% pos=5/5 [53s]
  [23] lb=4 so=0.75 r=14 p=1.0 f=0.25: ann=35.08% DD=13.56% pos=5/5 [54s]
  [24] lb=4 so=0.75 r=14 p=0.5 f=0.5: ann=34.70% DD=15.60% pos=5/5 [53s]
  [25] lb=4 so=1.0 r=1 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [52s]
  [26] lb=4 so=1.0 r=1 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [52s]
  [27] lb=4 so=1.0 r=3 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [52s]
  [28] lb=4 so=1.0 r=3 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [51s]
  [29] lb=4 so=1.0 r=7 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [52s]
  [30] lb=4 so=1.0 r=7 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [61s]
